company,date,numTweets,avgSubj,avgPol,medianTime,sumRetweet,sumFavorite,sumFollowers,numVerified
@amazon,2017-11-24,8071,0.33810771496064673,0.1357118224174824,2017-11-24 18:02:53,1427397,770827,108870449,227
@amazon,2017-11-23,3956,0.3154500225297127,0.11689077973817505,2017-11-23 17:39:38,173884,262586,43099972,103
@amazon,2017-11-22,651,0.344355986009212,0.15802655603724866,2017-11-22 21:01:12,211269,504827,3110559,10
@amazon,2017-11-21,4900,0.33529248961086383,0.13218910750946802,2017-11-21 17:43:02,119305,126323,35635232,140
@amazon,2017-11-20,4273,0.30777820992834126,0.1303858704461326,2017-11-20 17:58:33,179209,94744,38670018,109
@apple,2017-11-24,1652,0.3280656014463518,0.06553489202456368,2017-11-24 17:22:30,417787,1164876,8829542,30
@apple,2017-11-23,2156,0.35824054891888985,0.08153815050154584,2017-11-23 18:00:54,145599,659221,10909048,28
@apple,2017-11-22,2866,0.3643534397453638,0.11533351597189717,2017-11-22 18:55:26,590469,2377476,61565764,53
@apple,2017-11-21,3066,0.3250892789487511,0.07646276386969479,2017-11-21 17:47:05,1208196,2715064,14331198,58
@apple,2017-11-20,2246,0.37755877612790195,0.060246084181246114,2017-11-20 18:01:16,197455,455255,12485861,62
@cisco,2017-11-24,95,0.2016799574694312,0.15863702817650185,2017-11-24 17:23:11,998,983,472958,5
@cisco,2017-11-23,192,0.3989502446338382,0.20165629509379512,2017-11-23 16:44:57,3445,4382,566306,6
@cisco,2017-11-22,324,0.37866395435839884,0.2516942880079457,2017-11-22 18:02:18,11725,6200,844169,7
@cisco,2017-11-21,322,0.3172870676597385,0.1840885801784483,2017-11-21 17:54:02,9426,13926,1067203,12
@cisco,2017-11-20,298,0.31080332326137683,0.1476552096649623,2017-11-20 16:49:34,3644,4399,6695890,15
@microsoft,2017-11-24,548,0.37080262093948224,0.11463030781946151,2017-11-24 17:30:45,11333,36638,3946175,17
@microsoft,2017-11-23,511,0.3124353761499065,0.10176597405774267,2017-11-23 17:27:46,8185,26659,2388538,24
@microsoft,2017-11-22,792,0.3592504135875349,0.1468381402588215,2017-11-22 17:36:12,15749,53083,4305186,39
@microsoft,2017-11-21,941,0.33795582207378255,0.11256584362982987,2017-11-21 17:53:54,28422,100981,7014840,41
@microsoft,2017-11-20,1018,0.36676904316577746,0.1294045585840157,2017-11-20 17:31:09,32243,92556,23663076,50
@google,2017-11-24,1816,0.3736753022404845,0.0898251056474831,2017-11-24 17:20:44,490903,1349367,12279726,41
