company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_revenue_std,sumRetweets_over_revenue_std,sumFavorites_over_revenue_std,sumFollowers_over_revenue_std,numVerified_over_revenue_std,stock_mvmt
@amazon,2017-11-17,-0.201908848,-0.599393712,-0.041259793,1.843293124,-0.207938856,-0.362072506,2.753687165,0.608977236,DOWN
@amazon,2017-11-16,-0.07285833,-0.351302767,-0.272751948,1.646588065,-0.257513414,-0.389771537,3.493871307,0.962751995,UP
@amazon,2017-11-15,-0.397766554,-0.234700585,3.320367565,-0.033244629,-0.278793337,-0.423344083,0.058396233,-0.389916202,DOWN
@amazon,2017-11-14,-0.206257172,-0.289128339,-0.238527235,1.574605417,-0.276465277,-0.407386629,1.149929651,1.087613675,UP
@amazon,2017-11-10,-0.233553002,-0.467267751,-0.192418942,2.268774718,-0.231700788,-0.362903324,0.524580332,0.650597795,DOWN
@amazon,2017-11-09,-0.30694697,-0.259998805,1.817807599,2.700670608,-0.221702602,-0.385656334,2.078272237,1.025182835,UP
@amazon,2017-11-08,-0.230954172,0.38051986,0.28102292,1.854696316,-0.153975802,-0.356155742,1.463476289,1.378957594,UP
@amazon,2017-11-07,-0.130388666,0.36803155,0.103244551,2.263785822,-0.167269259,-0.392524213,1.127623747,1.274906194,UP
@apple,2017-11-17,0.406367896,-0.846388975,1.0097241,0.064827342,-0.101568114,-0.128075692,-0.440991824,0.068506809,DOWN
@apple,2017-11-16,0.425353767,-0.841966932,-0.288438275,-0.036565834,-0.102813245,-0.17976915,-0.399844373,-0.572091544,DOWN
@apple,2017-11-15,1.689086081,-1.46843291,-0.50519479,0.900283398,4.15492078,3.305718847,-0.145080826,-0.450897261,DOWN
@apple,2017-11-14,2.245100899,-1.836944317,0.166465201,1.432152866,7.705231081,6.37088311,-0.639658832,-0.398956854,DOWN
@apple,2017-11-13,0.430511702,-0.889626499,0.052858168,0.05949086,-0.158499862,-0.215037669,-0.54586739,-0.797166641,UP
@cisco,2017-11-17,0.311116085,0.386726786,-0.390161727,-0.784614994,-0.319662304,-0.436846395,-0.615884556,-0.705019782,DOWN
@cisco,2017-11-16,0.413925695,0.416883613,-1.323260497,-0.60992892,-0.317009538,-0.433837315,-0.621724885,-0.329968329,DOWN
@cisco,2017-11-15,0.105443533,0.681932532,-0.402045308,-0.622773484,-0.316749646,-0.433150873,-0.349923278,-0.104937458,UP
@cisco,2017-11-14,-0.102647013,0.327429076,-0.525159206,-0.725529999,-0.320383444,-0.438544161,-0.019512439,0.495144867,UP
@cisco,2017-11-13,-1.121416544,0.301465314,0.925588347,-1.049213018,-0.321495593,-0.439693035,-0.875569193,-0.329968329,UP
@cisco,2017-11-10,-0.496294543,-1.754736697,0.189281676,-0.73580565,-0.311533085,-0.434367867,-0.307901256,-0.40497862,DOWN
@cisco,2017-11-09,0.093419817,0.728727467,-0.837459711,-0.794890646,-0.320130577,-0.436335494,-0.821585382,-0.855040363,DOWN
@cisco,2017-11-08,-0.634207004,-0.134659259,0.018158112,-0.615066746,-0.315724128,-0.432060949,-0.715324361,-0.254958039,UP
@cisco,2017-11-07,-1.206194847,0.053652743,0.0751993,-0.360744373,-0.313572414,-0.434349527,-0.735484378,-0.029927167,UP
@google,2017-11-17,-0.206594741,-0.021489973,0.347570973,1.07187502,0.231330263,0.694312385,1.965978314,0.417671326,DOWN
@google,2017-11-16,2.147218031,1.033002426,-0.528486609,2.288753092,0.704439001,1.151229163,3.724652735,2.712167295,UP
@google,2017-11-15,-0.244635665,-0.572605685,0.890412948,1.293023525,-0.093631061,0.012304683,0.403594436,1.564919311,UP
@google,2017-11-14,-0.291982529,-0.209960551,-0.077861222,1.178520238,0.325325641,1.165440924,0.308947443,1.991039991,UP
@google,2017-11-13,-0.11274551,-0.882478404,-0.014640572,0.858584582,0.792358939,1.234394816,0.670491354,1.040463089,UP
@google,2017-11-10,-0.205054194,0.727829878,-1.265268623,1.152700869,0.422380224,0.635891661,0.09539075,1.564919311,UP
@google,2017-11-09,-0.88317867,-0.448139695,0.303364053,1.51304945,0.217580207,0.280026885,0.788691508,1.827147422,DOWN
@google,2017-11-08,0.411996037,0.538356103,0.132240488,1.163926682,0.435030399,0.620571054,0.34977398,0.974906062,UP
@google,2017-11-07,0.574170397,0.412994605,0.531528805,1.435591344,0.586965497,1.124815528,1.817465574,2.220489588,UP
@google,2017-11-06,1.465512697,0.336632671,0.560049399,2.028314243,1.029774797,1.686429127,0.222174612,1.171577145,DOWN
@hp,2017-11-17,1.211598206,1.442853164,-0.105906473,-1.041867423,-0.314065437,-0.405676638,-0.883192334,-0.843714154,UP
@hp,2017-11-16,1.878155913,1.257249664,0.850008773,-0.865217487,-0.309054772,-0.386183676,-0.424479997,-0.77401087,UP
@hp,2017-11-15,0.157156633,2.617126598,0.579538472,-0.53578923,-0.23874445,-0.152864615,-0.545213115,-0.286087884,UP
@hp,2017-11-14,0.680193966,0.783427733,-1.216783613,-1.082449165,-0.313708621,-0.423253537,-0.870418081,-0.913417438,UP
@hp,2017-11-13,1.229611775,0.995000622,0.242995462,-0.946380971,-0.299113942,-0.353801718,-0.66684182,-0.913417438,DOWN
@IBM,2017-11-17,-1.320096431,-0.767943152,-0.400143935,-0.603740755,-0.27953385,-0.409623115,-0.659281735,-0.491926015,DOWN
@IBM,2017-11-16,-0.217035042,-0.168519865,-1.445423709,-0.18215309,-0.290627982,-0.389039191,-0.393211424,0.221010512,DOWN
@IBM,2017-11-15,0.059046737,-0.084370693,-1.105077953,-0.289584696,-0.278241661,-0.356574563,0.011877416,1.361708954,DOWN
@IBM,2017-11-14,-0.045875837,0.230529196,1.192255902,-0.13169279,-0.242705725,-0.282150207,-0.093968467,0.17348141,DOWN
@IBM,2017-11-13,-1.041198415,-0.35728772,-1.621776049,-0.353067008,-0.266932412,-0.351693788,-0.19758644,-0.206751404,DOWN
@IBM,2017-11-10,0.449948266,-0.308112569,-0.654927909,-0.126809536,-0.272443872,-0.378502361,-0.513986191,-0.301809608,DOWN
@IBM,2017-11-09,-0.77798827,-0.463783394,1.207466885,-0.672106322,-0.287743923,-0.403550368,-0.551844819,-1.252391644,DOWN
