company	date	avjSubj_std	avgPol_std	medianTime_std	numTweets_over_followers_std	sumRetweets_over_followers_std	sumFavorites_over_sumFollowers_std	sumFollowers_over_followers_std	numVerified_over_followers_std	change_std
@amazon	2017-11-17	-0.266341467	-0.615090971	-0.065259986	1.824670713	-0.199227311	-0.357891997	2.659074629	0.570634923	-0.907145911
@amazon	2017-11-16	-0.132402541	-0.371761373	-0.308252274	1.627588202	-0.247870798	-0.385564478	3.384317659	0.927386855	0.863233648
@amazon	2017-11-15	-0.469618222	-0.257397013	3.46336724	-0.055467885	-0.268751059	-0.419104843	0.018189944	-0.436664651	0.01056108
@amazon	2017-11-14	-0.270854504	-0.310780193	-0.272327336	1.555467427	-0.266466723	-0.403162685	1.087690031	1.053299302	0.817492141
@amazon	2017-11-10	-0.299184295	-0.485500763	-0.223928462	2.250968755	-0.222542965	-0.358722019	0.474963806	0.612605738	-0.038854762
@amazon	2017-11-09	-0.375358411	-0.282209711	1.886162678	2.6836934	-0.212732556	-0.381453218	1.997293402	0.990343078	0.411408579
@amazon	2017-11-08	-0.296487022	0.346016158	0.273033178	1.836095786	-0.146277747	-0.351980905	1.394907521	1.347095011	1.206065674
@amazon	2017-11-07	-0.192112115	0.333767522	0.086423085	2.245970285	-0.159321537	-0.388314515	1.065834387	1.242167972	0.721127783
@apple	2017-11-17	0.364976676	-0.857345914	1.03793498	0.042792275	-0.094854339	-0.124119478	-0.471117632	0.025616195	-0.625702261
@apple	2017-11-16	0.384681728	-0.85300874	-0.32471787	-0.058795463	-0.096076084	-0.175763386	-0.430800769	-0.62037308	-0.013159764
@apple	2017-11-13	0.390035045	-0.899753626	0.033533593	0.037445552	-0.15071684	-0.210998099	-0.573876214	-0.847342284	0.397642025
@cisco	2017-11-17	0.266116746	0.352103961	-0.431494769	-0.808280038	-0.308852458	-0.432594212	-0.642480037	-0.754419969	0.0472839
@cisco	2017-11-16	0.372820763	0.38168202	-1.410948282	-0.633258762	-0.306249513	-0.429588017	-0.648202474	-0.37621229	-0.526897362
@cisco	2017-11-15	0.05265336	0.641644135	-0.443968706	-0.646127974	-0.305994503	-0.428902232	-0.381887364	-0.149287683	0.580307335
@cisco	2017-11-14	-0.163319614	0.293944289	-0.57319869	-0.749081665	-0.309560054	-0.434290351	-0.058146089	0.455844604	0.734826111
@cisco	2017-11-13	-1.220679926	0.268478821	0.949619507	-1.073385793	-0.310651315	-0.435438123	-0.896922766	-0.37621229	0.391055005
@cisco	2017-11-10	-0.571878432	-1.748260681	0.176734387	-0.759377034	-0.300875915	-0.43011806	-0.340713585	-0.451853826	-0.218523588
@cisco	2017-11-09	0.040174188	0.687540984	-0.901013748	-0.818575407	-0.309311936	-0.4320838	-0.844028654	-0.90570304	-0.857943251
