company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_followers_std,sumRetweets_over_followers_std,sumFavorites_over_sumFollowers_std,sumFollowers_over_followers_std,numVerified_over_followers_std,change_std
@amazon,2017-11-24,0.091196639,-0.058554341,0.447168476,2.154325555,0.157158956,-0.110302124,3.668900373,2.134205415,2.752748691
@amazon,2017-11-22,0.200965817,0.255504632,4.95078616,-0.504170582,-0.141634167,-0.133032639,-0.545625937,-0.720573366,1.638735045
@amazon,2017-11-21,0.041738961,-0.108133253,-0.054168907,1.018194658,-0.164229001,-0.165376965,0.75048065,0.98966277,0.66562622
@amazon,2017-11-20,-0.441629934,-0.133512126,0.337724547,0.793548152,-0.149511058,-0.168075488,0.87141672,0.58183723,-0.501324062
@amazon,2017-11-17,-0.219031368,-0.460725261,-0.057115474,0.969825793,-0.149845936,-0.157454526,2.203216708,0.594992893,-1.066405218
@amazon,2017-11-16,-0.082161062,-0.203765569,-0.262112373,0.870938336,-0.168596917,-0.163967246,2.75611671,0.818639157,0.725367297
@amazon,2017-11-15,-0.42675703,-0.082995095,2.919759398,0.026453782,-0.176645792,-0.171860973,0.189898295,-0.036478911,-0.137608816
@amazon,2017-11-14,-0.223643178,-0.139368532,-0.231804823,0.834751259,-0.175765231,-0.168108985,1.005247875,0.897573132,0.679073058
@amazon,2017-11-10,-0.252592994,-0.323876065,-0.190973819,1.183723663,-0.158833601,-0.157649872,0.538126763,0.621304218,-0.18762179
@amazon,2017-11-09,-0.330434253,-0.109197676,1.589173783,1.400846124,-0.155051908,-0.162999661,1.698697773,0.858106144,0.268082454
@amazon,2017-11-08,-0.249836688,0.554218231,0.228280618,0.9755584,-0.12943506,-0.15606335,1.239459778,1.081752408,1.072342046
@amazon,2017-11-07,-0.143177437,0.541283489,0.070849735,1.181215648,-0.13446315,-0.164614468,0.988585894,1.015974095,0.58154425
@apple,2017-11-24,-0.085222492,-1.046228899,-0.572764756,0.313970384,-0.011207831,0.00064677,-0.044572757,-0.151071656,-0.197624618
@apple,2017-11-22,0.552279652,-0.345359915,1.774386586,1.086599359,0.064155235,0.184709297,3.688418468,0.3864064,1.10765358
@apple,2017-11-21,-0.137510313,-0.892429339,0.048119073,1.213885846,0.333747899,0.235952328,0.344867987,0.503249456,1.708419161
@apple,2017-11-20,0.784270056,-1.120663915,0.406337472,0.69201125,-0.107366637,-0.107067756,0.214243787,0.596723901,-0.338730615
@apple,2017-11-17,0.426103774,-0.716550102,0.873578861,0.998771683,-0.014346613,-0.018740512,0.369025229,1.508099736,-0.781560652
@apple,2017-11-16,0.44624009,-0.711969981,-0.276003333,0.889941737,-0.01535214,-0.044691112,0.434649389,0.643461123,-0.161616298
@apple,2017-11-15,1.786547992,-1.360830844,-0.467951147,1.895504984,3.423057938,1.705056507,0.840959947,0.807041401,-0.785848448
@apple,2017-11-13,0.451710569,-0.76133328,0.026230287,0.993043791,-0.060322875,-0.062396239,0.201764057,0.339669178,0.254149547
@apple,2017-11-10,0.35045847,-1.419349402,-0.206548532,1.758035578,0.152038514,0.385334263,0.261896208,1.297782236,-0.429348419
@apple,2017-11-09,0.494598614,-2.020517019,0.222808421,2.514753742,0.700434631,1.059401563,1.322295909,1.741785848,0.475143562
@apple,2017-11-08,0.371628526,-1.587730805,0.02075809,2.61340077,0.031121648,0.140715378,0.901535573,2.092315016,1.083672885
@apple,2017-11-07,0.670227232,-1.982307978,0.02075809,3.522862718,1.745206964,2.235941649,0.994600105,1.718417237,0.57696253
@cisco,2017-11-24,-2.305556436,0.264096455,-0.55550629,-0.590609539,-0.19248373,-0.175809351,-0.588291059,-0.568421613,0.187164858
@cisco,2017-11-22,0.803685748,1.573790217,0.432435639,-0.236728705,-0.181116386,-0.173886534,-0.524488507,-0.454938262,-0.992112425
@cisco,2017-11-21,-0.288587989,0.604431928,0.223650298,-0.246000692,-0.184873003,-0.171460991,-0.486049812,-0.171229883,-0.456625054
@cisco,2017-11-20,-0.406746399,0.10258745,-1.42263896,-0.275361984,-0.189804822,-0.174517522,0.480473309,-0.001004856,1.976134267
@cisco,2017-11-17,0.3250802,0.560647042,-0.366084105,-0.275361984,-0.191821421,-0.174812376,-0.243824037,-0.114488208,-0.100442244
@cisco,2017-11-16,0.434119536,0.591881914,-1.19238577,-0.170279466,-0.190620787,-0.173965776,-0.249044279,0.169220171,-0.681561812
@cisco,2017-11-15,0.106944964,0.866405793,-0.37660756,-0.178006121,-0.190503161,-0.173772647,-0.006100747,0.339445198,0.439022153
@cisco,2017-11-14,-0.113754784,0.499229559,-0.485630551,-0.239819367,-0.192147807,-0.175290039,0.289229281,0.793378603,0.595408106
@cisco,2017-11-13,-1.194256436,0.472337645,0.799072802,-0.434531092,-0.192651162,-0.175613273,-0.475937098,0.169220171,0.247482931
@cisco,2017-11-10,-0.531255302,-1.657369411,0.147039547,-0.246000692,-0.188142161,-0.174115046,0.031459658,0.112478495,-0.369461703
