company,date,numTweets,avgSubj,avgPol,medianDate,sumRetweet,sumFavorite,sumFollowers,numVerified,medianTime,numTweets_over_followers,sumRetweets_over_followers,sumFavorites_over_sumFollowers,sumFollowers_over_followers,numVerified_over_followers,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_followers_std,sumRetweets_over_followers_std,sumFavorites_over_sumFollowers_std,sumFollowers_over_followers_std,numVerified_over_followers_std,open,close,change,categorical,change_std,outlier?
@amazon,2017-11-24,8071,0.338107715,0.135711822,2017-11-24 18:02,1427397,770827,108870449,227,0.752002315,2.989259259,528.6655556,285.4914815,40322.38852,0.084074074,0.086925854,-0.126544849,0.422252418,3.051537435,0.353381375,-0.016194608,4.452073532,2.236316171,1160.7,1186,0.021797191,UP,2.734167518,0
@amazon,2017-11-22,651,0.344355986,0.158026556,2017-11-22 21:01,211269,504827,3110559,10,0.875833333,0.241111111,78.24777778,186.972963,1152.058889,0.003703704,0.194439084,0.191917137,4.82087967,-0.558132996,-0.094935543,-0.080748965,-0.59126321,-0.691803974,1141,1156.16,0.013286591,UP,1.634531866,0
@amazon,2017-11-21,4900,0.33529249,0.132189108,2017-11-21 17:43,119305,126323,35635232,140,0.738217593,1.814814815,44.18703704,46.7862963,13198.23407,0.051851852,0.038484618,-0.176818843,-0.067397554,1.508914128,-0.128837416,-0.172606418,0.959730067,1.062369385,1132.86,1139.49,0.005852444,UP,0.673982449,0
@amazon,2017-11-20,4273,0.30777821,0.13038587,2017-11-20 17:58,179209,94744,38670018,109,0.748993056,1.582592593,66.3737037,35.09037037,14322.22889,0.04037037,-0.434950201,-0.20255352,0.315359897,1.203892112,-0.106754233,-0.180270185,1.104448899,0.644066507,1129.77,1126.31,-0.00306257,DOWN,-0.477906614,0
@amazon,2017-11-17,4765,0.320448945,0.107136498,2017-11-17 17:42,177846,219034,72090386,110,0.738136574,1.764814815,65.86888889,81.1237037,26700.14296,0.040740741,-0.216926425,-0.534354086,-0.07027543,1.443239531,-0.107256694,-0.150106798,2.698154885,0.657560149,1138.28,1129.88,-0.007379555,DOWN,-1.035694561,0
@amazon,2017-11-16,4489,0.328239864,0.125394175,2017-11-16 17:34,101527,142820,85964933,127,0.7325,1.662592593,37.60259259,52.8962963,31838.86407,0.047037037,-0.082869043,-0.273791896,-0.270493345,1.308971467,-0.135391149,-0.168602834,3.359785799,0.886952049,1130.16,1137.29,0.006308841,UP,0.73295248,0
@amazon,2017-11-15,2132,0.308624804,0.133975241,2017-11-15 19:40,68767,50445,21567903,62,0.819988426,0.78962963,25.46925926,18.68333333,7988.112222,0.022962963,-0.420382961,-0.151328256,2.837201149,0.162341655,-0.147467889,-0.191020912,0.288906022,0.00986537,1127.01,1126.69,-0.000283937,DOWN,-0.118885651,0
@amazon,2017-11-14,4388,0.320186432,0.129969757,2017-11-14 17:36,72351,94352,42028395,133,0.733333333,1.625185185,26.79666667,34.94518519,15566.07222,0.049259259,-0.221443454,-0.208492031,-0.240892339,1.259837139,-0.146146673,-0.180365318,1.264598707,0.967913897,1130.11,1136.84,0.005955173,UP,0.687255736,0
@amazon,2017-11-10,5362,0.318538553,0.116860001,2017-11-10 17:37,141265,216748,30306395,112,0.734456019,1.985925926,52.32037037,80.27703704,11224.59074,0.041481481,-0.249798301,-0.395586305,-0.201013206,1.733667193,-0.120742018,-0.150661577,0.705615587,0.684547431,1126.1,1125.35,-0.000666015,DOWN,-0.168253134,0
@amazon,2017-11-09,5968,0.31410768,0.132113477,2017-11-09 18:48,156657,154143,59429920,130,0.783402778,2.21037037,58.02111111,57.09,22011.08148,0.048148148,-0.326039786,-0.177898188,1.537634765,2.02847316,-0.115067867,-0.165854906,2.094419449,0.927432973,1125.96,1129.13,0.002815375,UP,0.281569573,0
@amazon,2017-11-08,4781,0.318695447,0.17925096,2017-11-08 17:54,260921,235314,47905740,147,0.745983796,1.770740741,96.63740741,87.15333333,17742.86667,0.054444444,-0.247098641,0.494818612,0.208467376,1.451023187,-0.076631687,-0.146155877,1.544869706,1.156824874,1122.82,1132.88,0.008959584,UP,1.075449006,0
@amazon,2017-11-07,5355,0.324766695,0.178331911,2017-11-07 17:47,240456,135246,41610277,142,0.741655093,1.983333333,89.05777778,50.09111111,15411.2137,0.052592593,-0.142631425,0.481702529,0.054706595,1.730261843,-0.084175963,-0.170440935,1.244660053,1.089356668,1124.74,1130.6,0.005210093,UP,0.590985682,0
@apple,2017-11-24,1652,0.328065601,0.065534892,2017-11-24 17:22,417787,1164876,8829542,30,0.723958333,1.086842105,274.8598684,766.3657895,5808.909211,0.019736842,-0.085867556,-1.128066311,-0.573903655,0.552727845,0.1007595,0.29889876,0.00832491,-0.107671347,175.1,174.97,-0.000742433,DOWN,-0.17812686,0
@apple,2017-11-22,2866,0.36435344,0.115333516,2017-11-22 18:55,590469,2377476,61565764,53,0.78849537,1.885526316,388.4664474,1564.128947,40503.79211,0.034868421,0.538532806,-0.417371352,1.718529801,1.601793114,0.21383619,0.821633862,4.47542997,0.443614916,173.36,174.96,0.009229349,UP,1.110304792,0
@apple,2017-11-21,3066,0.325089279,0.076462764,2017-11-21 17:47,1208196,2715064,14331198,58,0.741030093,2.017105263,794.8657895,1786.226316,9428.419737,0.038157895,-0.13708077,-0.972110527,0.03250584,1.774621001,0.618339985,0.967163384,0.47435138,0.563459756,170.78,173.14,0.013818948,UP,1.703316605,0
@apple,2017-11-20,2246,0.377558776,0.060246084,2017-11-20 18:01,197455,455255,12485861,62,0.75087963,1.477631579,129.9046053,299.5098684,8214.382237,0.040789474,0.765755402,-1.203544884,0.382373285,1.066026667,-0.043519656,-0.007009046,0.318039192,0.659335628,170.29,169.98,-0.001820424,DOWN,-0.317411675,0
@apple,2017-11-17,2728,0.357171268,0.088959456,2017-11-17 18:19,410595,1037153,14672469,101,0.763726852,1.794736842,270.1282895,682.3375,9652.940132,0.066447368,0.414950062,-0.793765516,0.838722126,1.482541873,0.096049991,0.24383914,0.503259279,1.594125378,171.04,170.15,-0.005203461,DOWN,-0.754526336,0
@apple,2017-11-16,2557,0.358317466,0.089284886,2017-11-16 17:34,408291,866191,15599546,64,0.732118056,1.682236842,268.6125,569.8625,10262.85921,0.042105263,0.434672542,-0.789121182,-0.284060472,1.33477403,0.094541271,0.170139784,0.581788802,0.707273564,171.18,171.1,-0.000467344,DOWN,-0.142583281,0
@apple,2017-11-15,4137,0.434610348,0.043181579,2017-11-15 17:26,8286839,12393491,21339523,71,0.726840278,2.721710526,5451.867763,8153.6125,14039.15987,0.046710526,1.747434774,-1.447078882,-0.47153351,2.700114332,5.253620549,5.139399509,1.068002629,0.875056339,169.97,169.08,-0.005236218,DOWN,-0.758758791,0
@apple,2017-11-14,5034,0.468177563,0.016061838,2017-11-14 17:50,14856364,22530685,10196381,74,0.743194444,3.311842105,9773.923684,14822.81908,6708.145395,0.048684211,2.325021693,-1.834114934,0.109386231,3.475247402,9.555517331,9.509403748,0.124105169,0.946963243,173.04,171.34,-0.009824318,DOWN,-1.351576908,1
@apple,2017-11-13,2719,0.358628856,0.085777491,2017-11-13 17:46,305248,749550,12309559,51,0.740428241,1.788815789,200.8210526,493.125,8098.394079,0.033552632,0.440030593,-0.83917654,0.011127336,1.474764618,0.02706602,0.119857461,0.303105252,0.39567698,173.5,173.97,0.002708934,UP,0.267816491,0
@cisco,2017-11-24,95,0.201679957,0.158637028,2017-11-24 17:23,998,983,472958,5,0.72443287,0.151757188,1.594249201,1.57028754,755.5239617,0.00798722,-2.260569756,0.200629416,-0.557047527,-0.675498653,-0.17123154,-0.202234253,-0.64231867,-0.535743331,36.41,36.49,0.002197199,UP,0.201696339,0
@cisco,2017-11-22,324,0.378663954,0.251694288,2017-11-22 18:02,11725,6200,844169,7,0.751597222,0.517571885,18.73003195,9.904153355,1348.51278,0.011182109,0.784772067,1.528684695,0.40786304,-0.195003999,-0.154175683,-0.196773479,-0.565968986,-0.419344509,36.7,36.45,-0.006811989,DOWN,-0.962360627,0
@cisco,2017-11-21,318,0.316489649,0.182818778,2017-11-21 17:54,8180,12781,1067810,12,0.745856481,0.50798722,13.06709265,20.41693291,1705.766773,0.019169329,-0.285053536,0.54573629,0.203945,-0.207593379,-0.159812209,-0.189884969,-0.519971104,-0.128347454,36.75,36.65,-0.002721088,DOWN,-0.433784512,0
@cisco,2017-11-20,299,0.309763847,0.14716138,2017-11-20 16:48,3526,4488,6691159,15,0.700590278,0.477635783,5.632587859,7.169329073,10688.7524,0.023961661,-0.400783584,0.036856102,-1.403965196,-0.247459747,-0.167212038,-0.198565475,0.636624255,0.046250779,35.93,36.5,0.01586418,UP,1.967576452,0
@cisco,2017-11-17,299,0.351420813,0.179707744,2017-11-17 17:30,1623,3688,2477109,13,0.729641204,0.477635783,2.592651757,5.891373802,3957.043131,0.020766773,0.3160027,0.501337553,-0.37204124,-0.247459747,-0.170237795,-0.199402856,-0.230110261,-0.070148043,35.9,35.9,0,DOWN,-0.082198768,0
@cisco,2017-11-16,367,0.35762754,0.181927066,2017-11-16 16:57,2756,5985,2446737,18,0.706921296,0.586261981,4.402555911,9.560702875,3908.525559,0.028753994,0.422801086,0.533010329,-1.179079776,-0.104780112,-0.168436332,-0.196998525,-0.236357092,0.220849013,36.04,35.88,-0.004439512,DOWN,-0.655818128,0
@cisco,2017-11-15,362,0.33900414,0.201432725,2017-11-15 17:30,2867,6509,3860212,21,0.729351852,0.57827476,4.579872204,10.39776358,6166.472843,0.033546326,0.102350523,0.811382952,-0.382319367,-0.115271262,-0.168259843,-0.19645004,0.054362659,0.395447246,33.97,34.11,0.004121283,UP,0.450303042,0
@cisco,2017-11-14,322,0.326441489,0.175343867,2017-11-14 17:25,1315,2392,5578478,29,0.726354167,0.514376997,2.100638978,3.821086262,8911.306709,0.046325879,-0.113813459,0.439059015,-0.488800763,-0.199200459,-0.170727513,-0.200759414,0.407771007,0.861042534,33.86,34.04,0.005316007,UP,0.604670604,0
@cisco,2017-11-13,196,0.264937274,0.173433124,2017-11-13 18:16,840,1515,1126647,18,0.761678241,0.313099042,1.341853035,2.420127796,1799.755591,0.028753994,-1.172108913,0.411790085,0.765952987,-0.46357743,-0.171482759,-0.201677394,-0.507869667,0.220849013,33.86,33.95,0.002658004,UP,0.261235918,0
@cisco,2017-11-10,318,0.302676563,0.022111717,2017-11-10 17:51,5095,5580,4078743,17,0.74375,0.50798722,8.138977636,8.913738019,6515.563898,0.02715655,-0.522733611,-1.747774832,0.129120235,-0.207593379,-0.164717338,-0.197422449,0.09930953,0.162649602,34.06,33.99,-0.002055197,DOWN,-0.347746133,0
@cisco,2017-11-09,295,0.338278255,0.204876489,2017-11-09 17:15,1423,4078,1407384,11,0.71875,0.471246006,2.273162939,6.514376997,2248.217252,0.017571885,0.089860315,0.860530214,-0.758909942,-0.255852667,-0.170555793,-0.198994633,-0.450128433,-0.186546865,34.29,34.05,-0.006999125,DOWN,-0.986540051,0
@cisco,2017-11-08,365,0.294350639,0.14133755,2017-11-08 17:45,3305,7341,1959983,19,0.739583333,0.583067093,5.279552716,11.72683706,3130.963259,0.030351438,-0.66599676,-0.046257967,-0.018884795,-0.108976572,-0.167563426,-0.195579163,-0.336471351,0.279048424,34.31,34.5,0.005537744,UP,0.633320746,0
@cisco,2017-11-07,464,0.259819116,0.155195934,2017-11-07 17:47,4224,5594,1855143,22,0.740972222,0.741214058,6.747603834,8.936102236,2963.48722,0.03514377,-1.26017642,0.151520262,0.030450215,0.098748191,-0.166102222,-0.197407795,-0.358034561,0.453646657,34.32,34.4,0.002331002,UP,0.218984823,0
@google,2017-11-24,1816,0.373675302,0.089825106,2017-11-24 17:20,490903,1349367,12279726,41,0.722731481,0.094093264,25.4353886,69.9153886,636.2552332,0.002124352,0.698932945,-0.781411504,-0.617482914,-0.751239752,-0.147501602,-0.157451057,-0.657674996,-0.749344216,1054.39,1056.52,0.002020125,UP,0.178817109,0
@google,2017-11-22,2564,0.306969277,0.091225388,2017-11-22 18:21,1188935,3334661,15329788,70,0.765081019,0.132849741,61.60284974,172.7803627,794.2895337,0.003626943,-0.448869407,-0.76142755,0.886823761,-0.700333433,-0.111502835,-0.090048681,-0.637327447,-0.694600583,1051.16,1051.92,0.000723011,UP,0.011219834,0
@google,2017-11-21,2874,0.323623988,0.091996286,2017-11-21 18:01,400795,1129585,21224304,98,0.751030093,0.148911917,20.76658031,58.52772021,1099.70487,0.00507772,-0.162293849,-0.750425773,0.387717911,-0.679235894,-0.152148634,-0.164912838,-0.598004,-0.641744662,1040.04,1050.3,0.009865005,UP,1.192436463,0
@google,2017-11-20,2477,0.377374979,0.055387655,2017-11-20 17:52,2342384,5313399,15768176,67,0.744675926,0.128341969,121.3670466,275.3056477,817.0039378,0.003471503,0.762592822,-1.272881363,0.162010241,-0.706254355,-0.052017393,-0.022868886,-0.634402877,-0.700263718,1036,1034.66,-0.001293436,DOWN,-0.249320776,0
@google,2017-11-17,2338,0.320166053,0.149665981,2017-11-17 17:56,542242,1984419,36394247,64,0.747604167,0.121139896,28.09544041,102.8196373,1885.71228,0.003316062,-0.22179412,0.072600208,0.266024887,-0.715714219,-0.144853957,-0.135890516,-0.496802399,-0.705926852,1049.8,1035.89,-0.013250143,DOWN,-1.794220061,0
@google,2017-11-16,3422,0.462268268,0.227268897,2017-11-16 17:25,1004648,2782590,57323472,134,0.726273148,0.177305699,52.05430052,144.1756477,2970.128083,0.006943005,2.223341194,1.180100725,-0.491678639,-0.64194089,-0.121006847,-0.108791949,-0.357179524,-0.573787049,1038.75,1048.47,0.009357401,UP,1.126850026,0
@google,2017-11-15,2535,0.317869481,0.109107901,2017-11-15 18:15,224632,793045,17800991,99,0.760821759,0.13134715,11.63896373,41.09041451,922.3311399,0.005129534,-0.261310946,-0.506219456,0.73552973,-0.702307074,-0.161233677,-0.17633865,-0.620841578,-0.639856951,1035,1036.41,0.001362319,UP,0.093823399,0
@google,2017-11-14,2433,0.3150111,0.135795926,2017-11-14 17:41,634111,2807416,16674638,112,0.73724537,0.126062176,32.85549223,145.4619689,863.9708808,0.005803109,-0.310494759,-0.125344569,-0.101932061,-0.709248844,-0.140116108,-0.107949085,-0.628355695,-0.615316702,1037.72,1041.64,0.003777512,UP,0.405885129,0
@google,2017-11-13,2148,0.325831832,0.086303538,2017-11-13 17:43,1090579,2927869,20977216,83,0.738784722,0.111295337,56.50668394,151.703057,1086.902383,0.004300518,-0.124303754,-0.831669119,-0.047252425,-0.728644969,-0.116575231,-0.103859606,-0.599652371,-0.670060334,1040.8,1041.2,0.00038432,UP,-0.032541673,0
@google,2017-11-10,2410,0.320259057,0.204810433,2017-11-10 17:00,728970,1882366,14133192,99,0.708333333,0.124870466,37.77046632,97.5319171,732.2897409,0.005129534,-0.220193804,0.859587504,-1.128922516,-0.710814146,-0.135224058,-0.139355299,-0.645310169,-0.639856951,1043.87,1044.15,0.000268233,UP,-0.04754103,0
@google,2017-11-09,2731,0.279319951,0.118267686,2017-11-09 17:55,528803,1260719,22383865,107,0.746527778,0.141502591,27.39911917,65.32222798,1159.785751,0.005544041,-0.924627956,-0.375496704,0.227790255,-0.688967984,-0.145547031,-0.16046073,-0.590268346,-0.624755259,1048,1047.72,-0.000267176,DOWN,-0.116719926,0
@google,2017-11-08,2420,0.357511045,0.190866551,2017-11-08 17:49,741334,1855603,17160497,81,0.742361111,0.125388601,38.41108808,96.14523316,889.1449223,0.004196891,0.420796563,0.660589101,0.079785225,-0.71013358,-0.134586424,-0.140263925,-0.625114436,-0.673835757,1050.05,1058.29,0.007847245,UP,0.931726234,0
@google,2017-11-07,2662,0.367301686,0.181640863,2017-11-07 18:03,889832,2736449,34626861,119,0.752083333,0.137927461,46.10528497,141.7849223,1794.137876,0.006165803,0.589262916,0.528925825,0.425130294,-0.693663888,-0.126928115,-0.110358474,-0.508592971,-0.602102721,1049.65,1052.39,0.002610394,UP,0.255084388,0
@google,2017-11-06,3190,0.421112982,0.176021184,2017-11-06 18:04,1322624,3717511,15641992,87,0.752777778,0.165284974,68.52974093,192.6171503,810.4659067,0.004507772,1.515187255,0.448725265,0.449797799,-0.657730016,-0.104608252,-0.077050606,-0.635244674,-0.662509488,1049.1,1042.68,-0.006119531,DOWN,-0.872889669,0
@hp,2017-11-24,141,0.383722066,0.137601199,2017-11-24 18:15,1157,6672,7026958,15,0.760659722,0.131775701,1.081308411,6.235514019,6567.250467,0.014018692,0.87180637,-0.099580839,0.72977398,-0.701744176,-0.171742089,-0.199177358,0.105964383,-0.31599976,21.44,21.24,-0.009328358,DOWN,-1.287495045,0
@hp,2017-11-22,290,0.36806955,0.255422815,2017-11-22 18:13,21797,114500,2855366,6,0.759328704,0.271028037,20.37102804,107.0093458,2668.566355,0.005607477,0.60247546,1.581895911,0.682494595,-0.518837355,-0.152542341,-0.133145205,-0.396006803,-0.622444135,21,21.34,0.016190476,UP,2.009736407,0
@hp,2017-11-21,200,0.257223112,0.095851687,2017-11-21 16:54,3745,21556,1410950,8,0.704803241,0.186915888,3.5,20.14579439,1318.64486,0.007476636,-1.30484554,-0.695403894,-1.254315666,-0.629317985,-0.169334678,-0.190062633,-0.5698146,-0.554345385,22.34,22.46,0.005371531,UP,0.61184471,0
@hp,2017-11-20,246,0.244152119,0.113048736,2017-11-20 18:41,10958,72731,1953753,15,0.778553241,0.229906542,10.2411215,67.9728972,1825.937383,0.014018692,-1.529756501,-0.449978302,1.365373356,-0.572850107,-0.162624999,-0.158723877,-0.504498657,-0.31599976,21.81,22.12,0.014213663,UP,1.75431686,0
@hp,2017-11-17,214,0.40578389,0.25743091,2017-11-17 17:40,4319,29574,1169765,12,0.7365625,0.2,4.036448598,27.63925234,1093.238318,0.011214953,1.251421463,1.610554187,-0.126188441,-0.612132109,-0.168800732,-0.185152537,-0.598836594,-0.418147885,21.51,21.75,0.011157601,UP,1.359449888,0
@hp,2017-11-16,288,0.446024698,0.243771851,2017-11-16 18:14,6622,45587,3736873,13,0.759837963,0.269158879,6.188785047,42.6046729,3492.404673,0.012149533,1.943840083,1.415620613,0.700584099,-0.52129248,-0.166658435,-0.175346431,-0.289934322,-0.38409851,21.43,21.57,0.006532898,UP,0.761902329,0
@hp,2017-11-15,426,0.342126115,0.343848833,2017-11-15 18:04,38938,237253,3061210,20,0.753252315,0.398130841,36.39065421,221.7317757,2860.943925,0.018691589,0.156069973,2.843856993,0.466653927,-0.351888847,-0.136597434,-0.057973219,-0.371237421,-0.145752885,21.31,21.36,0.002346316,UP,0.220963505,0
@hp,2017-11-14,197,0.373702443,0.208902028,2017-11-14 17:01,4483,15135,1241254,11,0.709513889,0.18411215,4.189719626,14.14485981,1160.050467,0.010280374,0.699399957,0.917980199,-1.086987758,-0.633000672,-0.168648176,-0.193994752,-0.590234263,-0.45219726,21.1,21.36,0.012322275,UP,1.509934777,0
@hp,2017-11-13,254,0.406871389,0.224472243,2017-11-13 17:52,11191,72188,2380535,11,0.74505787,0.237383178,10.4588785,67.46542056,2224.799065,0.010280374,1.270133918,1.140188613,0.175577369,-0.563029607,-0.162408258,-0.159056401,-0.453143618,-0.45219726,21.23,21.17,-0.002826189,DOWN,-0.447364366,0
@ibm,2017-11-24,236,0.324646328,0.14854561,2017-11-24 17:47,6271,13422,1285873,13,0.74162037,0.581280788,15.44581281,33.0591133,3167.174877,0.032019704,-0.144702568,0.056610984,0.05347322,-0.111322868,-0.157444584,-0.181601168,-0.33180896,0.339828104,151.95,151.84,-0.000723922,DOWN,-0.175735153,0
