company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_followers_std,sumRetweets_over_followers_std,sumFavorites_over_sumFollowers_std,sumFollowers_over_followers_std,numVerified_over_followers_std,change_std
@amazon,2017-11-24,0.086925854,-0.126544849,0.422252418,3.051537435,0.353381375,-0.016194608,4.452073532,2.236316171,2.734167518
@amazon,2017-11-22,0.194439084,0.191917137,4.82087967,-0.558132996,-0.094935543,-0.080748965,-0.59126321,-0.691803974,1.634531866
@amazon,2017-11-21,0.038484618,-0.176818843,-0.067397554,1.508914128,-0.128837416,-0.172606418,0.959730067,1.062369385,0.673982449
@amazon,2017-11-20,-0.434950201,-0.20255352,0.315359897,1.203892112,-0.106754233,-0.180270185,1.104448899,0.644066507,-0.477906614
@amazon,2017-11-17,-0.216926425,-0.534354086,-0.07027543,1.443239531,-0.107256694,-0.150106798,2.698154885,0.657560149,-1.035694561
@amazon,2017-11-16,-0.082869043,-0.273791896,-0.270493345,1.308971467,-0.135391149,-0.168602834,3.359785799,0.886952049,0.73295248
@amazon,2017-11-15,-0.420382961,-0.151328256,2.837201149,0.162341655,-0.147467889,-0.191020912,0.288906022,0.00986537,-0.118885651
@amazon,2017-11-14,-0.221443454,-0.208492031,-0.240892339,1.259837139,-0.146146673,-0.180365318,1.264598707,0.967913897,0.687255736
@amazon,2017-11-10,-0.249798301,-0.395586305,-0.201013206,1.733667193,-0.120742018,-0.150661577,0.705615587,0.684547431,-0.168253134
@amazon,2017-11-09,-0.326039786,-0.177898188,1.537634765,2.02847316,-0.115067867,-0.165854906,2.094419449,0.927432973,0.281569573
@amazon,2017-11-08,-0.247098641,0.494818612,0.208467376,1.451023187,-0.076631687,-0.146155877,1.544869706,1.156824874,1.075449006
@amazon,2017-11-07,-0.142631425,0.481702529,0.054706595,1.730261843,-0.084175963,-0.170440935,1.244660053,1.089356668,0.590985682
@apple,2017-11-24,-0.085867556,-1.128066311,-0.573903655,0.552727845,0.1007595,0.29889876,0.00832491,-0.107671347,-0.17812686
@apple,2017-11-22,0.538532806,-0.417371352,1.718529801,1.601793114,0.21383619,0.821633862,4.47542997,0.443614916,1.110304792
@apple,2017-11-21,-0.13708077,-0.972110527,0.03250584,1.774621001,0.618339985,0.967163384,0.47435138,0.563459756,1.703316605
@apple,2017-11-20,0.765755402,-1.203544884,0.382373285,1.066026667,-0.043519656,-0.007009046,0.318039192,0.659335628,-0.317411675
@apple,2017-11-17,0.414950062,-0.793765516,0.838722126,1.482541873,0.096049991,0.24383914,0.503259279,1.594125378,-0.754526336
@apple,2017-11-16,0.434672542,-0.789121182,-0.284060472,1.33477403,0.094541271,0.170139784,0.581788802,0.707273564,-0.142583281
@apple,2017-11-15,1.747434774,-1.447078882,-0.47153351,2.700114332,5.253620549,5.139399509,1.068002629,0.875056339,-0.758758791
@apple,2017-11-13,0.440030593,-0.83917654,0.011127336,1.474764618,0.02706602,0.119857461,0.303105252,0.39567698,0.267816491
@cisco,2017-11-24,-2.260569756,0.200629416,-0.557047527,-0.675498653,-0.17123154,-0.202234253,-0.64231867,-0.535743331,0.201696339
@cisco,2017-11-22,0.784772067,1.528684695,0.40786304,-0.195003999,-0.154175683,-0.196773479,-0.565968986,-0.419344509,-0.962360627
@cisco,2017-11-21,-0.285053536,0.54573629,0.203945,-0.207593379,-0.159812209,-0.189884969,-0.519971104,-0.128347454,-0.433784512
@cisco,2017-11-20,-0.400783584,0.036856102,-1.403965196,-0.247459747,-0.167212038,-0.198565475,0.636624255,0.046250779,1.967576452
@cisco,2017-11-17,0.3160027,0.501337553,-0.37204124,-0.247459747,-0.170237795,-0.199402856,-0.230110261,-0.070148043,-0.082198768
@cisco,2017-11-16,0.422801086,0.533010329,-1.179079776,-0.104780112,-0.168436332,-0.196998525,-0.236357092,0.220849013,-0.655818128
@cisco,2017-11-15,0.102350523,0.811382952,-0.382319367,-0.115271262,-0.168259843,-0.19645004,0.054362659,0.395447246,0.450303042
@cisco,2017-11-14,-0.113813459,0.439059015,-0.488800763,-0.199200459,-0.170727513,-0.200759414,0.407771007,0.861042534,0.604670604
@cisco,2017-11-13,-1.172108913,0.411790085,0.765952987,-0.46357743,-0.171482759,-0.201677394,-0.507869667,0.220849013,0.261235918
@cisco,2017-11-10,-0.522733611,-1.747774832,0.129120235,-0.207593379,-0.164717338,-0.197422449,0.09930953,0.162649602,-0.347746133
@cisco,2017-11-09,0.089860315,0.860530214,-0.758909942,-0.255852667,-0.170555793,-0.198994633,-0.450128433,-0.186546865,-0.986540051
