company,date,avjSubj_std,Subj Perc,Subj Rank,avgPol_std,Pol Perc,Pol Rank,medianTime_std,Time Perc,Time Rank,numTweets_over_followers_std,numTweets Perc,numTweets Rank,sumRetweets_over_followers_std,sumRetweets Perc,sumRetweets Rank,sumFavorites_over_sumFollowers_std,sumFaves Perc,sumFaves Rank,sumFollowers_over_followers_std,sumFollowers Perc,sumFollowers Rank,numVerified_over_followers_std,numVerified Perc,numVerified Rank,change_std
@oracle,2017-11-10,-1.125294568,0.10,Very low,-0.209739901,0.416666667,Low,-1.426400968,0.1,Early,-0.884322502,0.1,Very low,-0.340320993,0.266666667,Low,-0.492843525,0.333333333,Low,-0.776209622,0.2,Very low,-0.663313279,0.35,Low,0.737865293
@microsoft,2017-11-10,-0.398967262,0.33,Low,-0.421813811,0.25,Very low,-0.669559461,0.233333333,Very early,-0.046703364,0.666666667,High,-0.292703588,0.55,High,-0.409542389,0.533333333,High,0.746920958,0.866666667,Very high,0.393432276,0.7,High,0.053475496
@microsoft,2017-11-09,0.044432947,0.65,High,-0.352279376,0.283333333,Low,-0.070393268,0.45,Early,0.350416754,0.75,High,-0.216556864,0.65,High,-0.23175194,0.7,High,0.2559898,0.683333333,High,0.217081508,0.666666667,High,-0.092900582
@microsoft,2017-11-08,-0.741592185,0.22,Very low,-0.298167806,0.333333333,Low,-0.54341921,0.3,Early,2.089045116,0.966666667,Very high,0.524115672,0.916666667,Very high,2.722901783,0.966666667,Very high,0.121111727,0.65,High,0.922484581,0.816666667,Very high,0.548973873
@microsoft,2017-11-07,-0.135794692,0.45,Low,-0.453859342,0.233333333,Very low,-0.101928331,0.433333333,Very early,1.099752949,0.783333333,Very high,-0.280235998,0.6,High,-0.241524962,0.683333333,High,0.616992347,0.816666667,Very high,0.675593506,0.766666667,Very high,-0.78768476
@microsoft,2017-11-06,-0.094875655,0.50,Low,-0.200828194,0.45,Low,0.907193679,0.816666667,Early,0.204478619,0.7,High,-0.29215729,0.583333333,High,-0.327025428,0.6,High,1.502180119,0.933333333,Very high,1.345726425,0.883333333,Very high,0.329875915
@google,2017-11-10,-0.370437975,0.37,Low,0.530496964,0.766666667,Very high,-1.426400968,0.1,Very late,1.444054389,0.85,Very high,0.286413717,0.866666667,Very high,0.44384554,0.833333333,Very high,0.283681789,0.716666667,High,1.573981672,0.9,Very high,-0.030791151
@google,2017-11-09,-1.008732543,0.17,Very low,-0.477279944,0.216666667,Very low,0.308027486,0.65,Very early,1.842044693,0.95,Very high,0.112641791,0.816666667,Very high,0.132066246,0.766666667,Very high,1.050613607,0.916666667,Very high,1.823285729,0.933333333,Very high,-0.096508178
@google,2017-11-08,0.210369569,0.70,High,0.368122614,0.733333333,High,0.118817109,0.55,Later,1.456452841,0.866666667,Very high,0.297147335,0.883333333,Very high,0.430422891,0.816666667,Very high,0.565081443,0.8,Very high,1.013047546,0.833333333,Very high,0.899471359
@google,2017-11-07,0.363018554,0.77,Very high,0.260690904,0.666666667,High,0.560307988,0.716666667,Later,1.756495375,0.933333333,Very high,0.426063607,0.9,Very high,0.872200208,0.883333333,Very high,2.188647218,0.95,Very high,2.197241813,0.983333333,Very high,0.256690204
