company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_followers_std,sumRetweets_over_followers_std,sumFavorites_over_sumFollowers_std,sumFollowers_over_followers_std,numVerified_over_followers_std,change_std
@oracle,2017-11-10,-1.125294568,-0.209739901,-1.426400968,-0.306348318,-0.196177158,-0.216836767,-0.481800413,-0.14017833,0.737865293
@microsoft,2017-11-10,-0.398967262,-0.421813811,-0.669559461,-0.514567998,-0.193895275,-0.211117085,-0.268609262,-0.593235009,0.053475496
@microsoft,2017-11-09,0.044432947,-0.352279376,-0.070393268,-0.457820743,-0.187304585,-0.193462435,-0.43212447,-0.635448664,-0.092900582
@microsoft,2017-11-08,-0.741592185,-0.298167806,-0.54341921,-0.209376047,-0.123197514,0.099935657,-0.477048521,-0.466594045,0.548973873
@microsoft,2017-11-07,-0.135794692,-0.453859342,-0.101928331,-0.350742884,-0.192816174,-0.194432899,-0.311884787,-0.525693161,-0.78768476
@microsoft,2017-11-06,-0.094875655,-0.200828194,0.907193679,-0.478674858,-0.193847992,-0.202923124,-0.017053911,-0.365281273,0.329875915
@google,2017-11-10,-0.370437975,0.530496964,-1.426400968,-0.520949324,-0.171917278,-0.1745479,-0.647747674,-0.690125189,-0.030791151
@google,2017-11-09,-1.008732543,-0.477279944,0.308027486,-0.493301517,-0.179229082,-0.189598825,-0.523565422,-0.661113691,-0.096508178
@google,2017-11-08,0.210369569,0.368122614,0.118817109,-0.520088021,-0.17146564,-0.175195869,-0.602183203,-0.755401061,0.899471359
@google,2017-11-07,0.363018554,0.260690904,0.560307988,-0.499244504,-0.166041228,-0.153869382,-0.339294054,-0.617596444,0.256690204
@google,2017-11-06,1.202007513,0.195250611,0.591843051,-0.453767738,-0.150231978,-0.130116528,-0.625038474,-0.733642437,-0.814837473
@intel,2017-11-10,-0.434792943,-0.071583266,-0.007323142,-0.613760961,-0.195617212,-0.212901331,-0.612644808,-0.844150147,-1.290067259
@intel,2017-11-09,0.888031074,0.06114389,0.623378113,-0.56889936,-0.193647636,-0.207876317,-0.171557392,-0.390238551,0.602636773
@intel,2017-11-08,2.030305772,0.964877366,0.907193679,-0.553249965,-0.189413504,-0.211249625,-0.202907071,-0.522019337,0.146910793
@intel,2017-11-07,2.260008806,1.997706133,1.884780626,-0.402668002,-0.17227993,-0.192178271,-0.284400547,-0.038823122,0.146549979
@intel,2017-11-06,-0.715125005,-0.327735617,0.497237863,-0.560205251,-0.194228155,-0.205795946,-0.548219905,-0.609873194,0.199680122
@xerox,2017-11-10,-1.120297753,-0.610485121,0.4657028,-0.114745873,-0.196593162,-0.216952246,4.663680131,-0.331293869,-0.189819241
@xerox,2017-11-09,-0.132392027,-0.398005388,1.758640374,-0.157369299,-0.196802855,-0.218783023,-0.000409665,1.46332766,0.738244306
@xerox,2017-11-08,-1.079715879,0.315824705,1.727105312,-0.182943354,-0.196723316,-0.21935574,-0.778287546,-1.049142481,3.284963006
@xerox,2017-11-07,-0.07228128,1.198452516,3.146183138,-0.080647133,-0.195436239,-0.218715926,-0.776283927,-1.049142481,-2.380394405
@xerox,2017-11-06,-2.518367429,-0.650305986,-0.228068582,-0.370486424,-0.197106547,-0.218689567,-0.569820302,-0.331293869,0.190059228
@cisco,2017-11-10,-0.644572207,-1.597001337,0.181887234,0.11591086,-0.192807489,-0.215957351,1.032221232,0.851550928,-0.315973311
@cisco,2017-11-09,-0.089494951,0.531266176,-0.953375026,0.054835441,-0.19694289,-0.217078523,-0.207389666,0.18071796,-0.922800532
@cisco,2017-11-08,-0.774384326,-0.208634945,-0.007323142,0.240717151,-0.194823385,-0.214642848,0.049037022,1.075161917,0.615998758
@cisco,2017-11-07,-1.312776238,-0.047256206,0.055746983,0.503606999,-0.193788408,-0.215946901,0.000387325,1.410578401,0.222397144
@google,2017-11-17,-0.371888037,-0.111651659,0.356906833,-0.527150701,-0.178738175,-0.172077058,-0.312692833,-0.817050494,-1.690062403
@google,2017-11-16,1.843672616,0.792022309,-0.611745179,-0.433785523,-0.16184717,-0.152752245,0.002316413,-0.563199884,1.084830714
@google,2017-11-15,-0.407694613,-0.583944227,0.957124195,-0.510183044,-0.190339997,-0.200921853,-0.592543021,-0.690125189,0.103499081
@google,2017-11-14,-0.452260539,-0.273166294,-0.113491187,-0.518968328,-0.175382337,-0.152151174,-0.609495947,-0.642981505,0.399944535
@google,2017-11-13,-0.283551077,-0.849497501,-0.043588465,-0.543515446,-0.158708238,-0.149234842,-0.54473713,-0.748148186,-0.016542396
