company,date,numTweets,avgSubj,avgPol,medianTime,sumRetweet,sumFavorite,sumFollowers,numVerified
@apple,2017-11-18,2607,0.3996993909995476,0.14669789679113315,2017-11-18 17:26:34,1028439,2170155,20281730,29
@apple,2017-11-17,2728,0.35717126801900606,0.08895945607254321,2017-11-17 18:19:46,410595,1037153,14672469,101
@apple,2017-11-16,2557,0.35831746555201793,0.0892848859936449,2017-11-16 17:34:15,408291,866191,15599546,64
@apple,2017-11-15,4137,0.43461034836882384,0.04318157870618891,2017-11-15 17:26:39,8286839,12393491,21339523,71
@apple,2017-11-14,5034,0.4681775625803877,0.01606183833276555,2017-11-14 17:50:12,14856364,22530685,10196381,74
@apple,2017-11-13,2719,0.3586288556719324,0.08577749100096586,2017-11-13 17:46:13,305248,749550,12309559,51
@apple,2017-11-12,2793,0.3565210101938084,0.10943465929347561,2017-11-12 18:11:53,756809,1834381,10139671,38
@oracle,2017-11-18,152,0.3204299812030077,-0.024401379870129837,2017-11-18 19:18:39,13929,12306,209299,1
@oracle,2017-11-17,376,0.4808314912038315,-0.23310343173375095,2017-11-17 17:18:16,11856,8444,2530128,10
@oracle,2017-11-16,220,0.3454885707726614,0.1673454922602648,2017-11-16 18:17:11,1574,2684,2564042,10
@oracle,2017-11-15,236,0.2885750819331327,0.16380658889133462,2017-11-15 17:22:34,2762,3431,1564770,8
@oracle,2017-11-14,387,0.33826647333430293,0.1467515094186602,2017-11-14 17:33:53,15748,6632,2212768,10
@oracle,2017-11-13,231,0.33578175852526493,0.19082604805007394,2017-11-13 16:55:28,6490,10995,828298,8
@oracle,2017-11-12,131,0.14472560942026588,0.0672272066356036,2017-11-12 16:28:40,32084,58946,1130109,2
@hp,2017-11-18,127,0.2602650520957607,0.13946601845223894,2017-11-18 17:48:04,3261,17603,1051083,5
@hp,2017-11-17,214,0.4057838903049184,0.2574309095629188,2017-11-17 17:40:39,4319,29574,1169765,12
@hp,2017-11-16,288,0.4460246980385871,0.2437718514895095,2017-11-16 18:14:10,6622,45587,3736873,13
@hp,2017-11-15,426,0.34212611527752435,0.34384883321392984,2017-11-15 18:04:41,38938,237253,3061210,20
@hp,2017-11-14,197,0.37370244321386425,0.20890202789314463,2017-11-14 17:01:42,4483,15135,1241254,11
@hp,2017-11-13,254,0.4068713889456999,0.2244722428162387,2017-11-13 17:52:53,11191,72188,2380535,11
@hp,2017-11-12,99,0.2583773339455158,0.06608700642791551,2017-11-12 19:06:59,2898,10113,373205,3
